Symbol,Average price,Average volume,Average no. of trades,Average deliverable qty,fromDate,toDate,NoOfDays
ABFRL,147,2621630,25884,1101985,2021-03-05,2020-03-05,365
ACC,1437,1375109,47086,352489,2021-03-05,2020-03-05,365
ADANIENT,316,5930034,52999,817740,2021-03-05,2020-03-05,365
ADANIGREEN,615,1599728,29144,918172,2021-03-05,2020-03-05,365
ADANIPORTS,386,6682197,76581,1753332,2021-03-05,2020-03-05,365
ADANIPOWER,40,11049337,23620,3606885,2021-03-05,2020-03-05,365
AMARAJABAT,746,1086116,26599,225382,2021-03-05,2020-03-05,365
AMBUJACEM,220,6393057,51683,2273526,2021-03-05,2020-03-05,365
APOLLOHOSP,1909,1294585,65556,376268,2021-03-05,2020-03-05,365
APOLLOTYRE,141,9742431,49825,1612522,2021-03-05,2020-03-05,365
ASHOKLEY,75,41889803,106992,9124582,2021-03-05,2020-03-05,365
ASIANPAINT,2023,2611753,105870,895924,2021-03-05,2020-03-05,365
ATGL,227,2725696,27126,885457,2021-03-05,2020-03-05,365
AUBANK,735,802913,30335,484677,2021-03-05,2020-03-05,365
AUROPHARMA,782,4821632,92938,1053974,2021-03-05,2020-03-05,365
AXISBANK,512,29429543,301729,7768879,2021-03-05,2020-03-05,365
BAJAJ-AUTO,3032,925782,51991,222730,2021-03-05,2020-03-05,365
BAJAJFINSV,6835,920725,87766,156891,2021-03-05,2020-03-05,365
BAJFINANCE,3649,6921280,292494,1096599,2021-03-05,2020-03-05,365
BALKRISIND,1329,924344,38716,277759,2021-03-05,2020-03-05,365
BANDHANBNK,310,14260102,144077,4095637,2021-03-05,2020-03-05,365
BANKBARODA,54,42431877,87690,7809575,2021-03-05,2020-03-05,365
BATAINDIA,1383,965495,37796,236728,2021-03-05,2020-03-05,365
BEL,99,15177247,61041,4539442,2021-03-05,2020-03-05,365
BEML,701,709860,22598,141630,2021-03-05,2020-03-05,365
BERGEPAINT,590,1488499,28788,335976,2021-03-05,2020-03-05,365
BHARATFORG,443,3296280,51012,760820,2021-03-05,2020-03-05,365
BHARTIARTL,518,21930244,225384,8712681,2021-03-05,2020-03-05,365
BHEL,33,56930197,71163,13090538,2021-03-05,2020-03-05,365
BIOCON,399,5890950,73227,1606193,2021-03-05,2020-03-05,365
BPCL,381,10107297,117692,2543572,2021-03-05,2020-03-05,365
BRITANNIA,3463,826115,58356,322940,2021-03-05,2020-03-05,365
CADILAHC,393,4880543,56409,1029620,2021-03-05,2020-03-05,365
CANBK,107,18227867,66698,3219056,2021-03-05,2020-03-05,365
CDSL,392,1177003,26045,362504,2021-03-05,2020-03-05,365
CHOLAFIN,273,9048132,82813,1968856,2021-03-05,2020-03-05,365
CIPLA,702,7643631,121626,1687295,2021-03-05,2020-03-05,365
COALINDIA,133,14544309,74812,4651803,2021-03-05,2020-03-05,365
COFORGE,1976,617562,31979,109142,2021-03-05,2020-03-05,365
COLPAL,1441,847331,36420,336958,2021-03-05,2020-03-05,365
CONCOR,407,2685783,52397,1014359,2021-03-05,2020-03-05,365
CROMPTON,285,1503715,34253,1016078,2021-03-05,2020-03-05,365
CUB,150,2414450,26605,1429352,2021-03-05,2020-03-05,365
CUMMINSIND,487,1572207,27304,414626,2021-03-05,2020-03-05,365
CYIENT,384,825366,24279,335804,2021-03-05,2020-03-05,365
DABUR,493,3621096,59520,1392451,2021-03-05,2020-03-05,365
DEEPAKNTR,726,1209904,40820,376211,2021-03-05,2020-03-05,365
DIVISLAB,2941,1158120,64537,383225,2021-03-05,2020-03-05,365
DLF,183,14034979,84469,2480096,2021-03-05,2020-03-05,365
DRREDDY,4409,1555097,91257,338824,2021-03-05,2020-03-05,365
EICHERMOT,9127,1039262,71851,240782,2021-03-05,2020-03-05,365
EQUITAS,59,9156869,30785,2309514,2021-03-05,2020-03-05,365
ESCORTS,1113,2436207,71361,369962,2021-03-05,2020-03-05,365
EXIDEIND,168,4073800,33216,1246029,2021-03-05,2020-03-05,365
FEDERALBNK,58,34571724,67703,8717521,2021-03-05,2020-03-05,365
FRETAIL,94,4552189,26110,2202701,2021-03-05,2020-03-05,365
GAIL,102,19398920,79238,5622202,2021-03-05,2020-03-05,365
GLENMARK,433,4530183,64641,900210,2021-03-05,2020-03-05,365
GMRINFRA,22,18496187,28899,5859934,2021-03-05,2020-03-05,365
GODREJCP,666,1749100,43253,762709,2021-03-05,2020-03-05,365
GODREJPROP,987,971799,36331,216425,2021-03-05,2020-03-05,365
GRANULES,291,2941855,39194,905745,2021-03-05,2020-03-05,365
GRASIM,754,2685590,50307,759724,2021-03-05,2020-03-05,365
