Symbol,Average price,Average volume,Average no. of trades,Average deliverable qty,fromDate,toDate,NoOfDays
20MICRONS,31,123929,908,70267,2021-03-05,2020-03-05,365
21STCENMGM,11,3065,28,2691,2021-03-05,2020-03-05,365
3IINFOTECH,4,7639311,4506,4266988,2021-03-05,2020-03-05,365
3MINDIA,19980,6714,2585,4009,2021-03-05,2020-03-05,365
3PLAND,7,3775,23,3180,2021-03-05,2020-03-05,365
5PAISA,247,33131,1217,20081,2021-03-05,2020-03-05,365
63MOONS,72,96512,1562,55283,2021-03-05,2020-03-05,365
A2ZINFRA,4,422262,708,286589,2021-03-05,2020-03-05,365
AARON,51,13021,149,8680,2021-03-05,2020-11-06,119
AARTIDRUGS,1134,435442,22430,150521,2021-03-05,2020-03-05,365
AARTIIND,1049,415740,20260,215705,2021-03-05,2020-03-05,365
AARTISURF,981,31307,2269,17633,2021-03-05,2020-11-24,101
AARVEEDEN,12,21895,129,14249,2021-03-05,2020-03-05,365
AARVI,40,12875,106,8546,2021-03-05,2020-06-24,254
AAVAS,1498,96330,6591,68956,2021-03-05,2020-03-05,365
ABAN,25,130197,840,77597,2021-03-05,2020-03-05,365
ABB,1022,179248,9174,93768,2021-03-05,2020-03-05,365
ABBOTINDIA,15800,17312,5713,9398,2021-03-05,2020-03-05,365
ABCAPITAL,69,3884344,19646,1285538,2021-03-05,2020-03-05,365
ABFRL,147,2621630,25884,1101985,2021-03-05,2020-03-05,365
ABMINTLTD,53,3809,48,2932,2021-03-05,2021-02-02,31
ABSLBANETF,253,1068,33,880,2021-03-05,2020-03-05,365
ABSLNN50ET,281,249,25,157,2021-03-05,2020-03-05,365
ACC,1437,1375109,47086,352489,2021-03-05,2020-03-05,365
ACCELYA,946,17515,1037,10795,2021-03-05,2020-03-05,365
ACCURACY,45,30623,132,24830,2021-03-05,2020-12-11,84
ACE,81,457463,4524,194574,2021-03-05,2020-03-05,365
ACRYSIL,247,101195,1911,64134,2021-03-05,2021-01-14,50
ADANIENT,316,5930034,52999,817740,2021-03-05,2020-03-05,365
ADANIGREEN,615,1599728,29144,918172,2021-03-05,2020-03-05,365
ADANIPORTS,386,6682197,76581,1753332,2021-03-05,2020-03-05,365
ADANIPOWER,40,11049337,23620,3606885,2021-03-05,2020-03-05,365
ADANITRANS,319,821995,15105,357056,2021-03-05,2020-03-05,365
ADFFOODS,411,94263,2460,47630,2021-03-05,2020-03-05,365
ADHUNIKIND,20,47777,253,31308,2021-03-05,2020-03-05,365
ADORWELD,258,40202,1283,16794,2021-03-05,2020-03-05,365
ADROITINFO,7,13426,88,8938,2021-03-05,2020-03-05,365
ADSL,23,114987,678,62506,2021-03-05,2020-03-05,365
ADVANIHOTR,43,16562,228,9191,2021-03-05,2020-03-05,365
ADVENZYMES,245,453616,10047,173165,2021-03-05,2020-03-05,365
AEGISCHEM,214,310986,8350,170640,2021-03-05,2020-03-05,365
AFFLE,2945,97112,11813,51620,2021-03-05,2020-05-27,282
AGCNET,457,25189,936,13228,2021-03-05,2020-05-27,282
AGRITECH,30,11346,166,6695,2021-03-05,2020-03-05,365
AGROPHOS,11,61688,243,46840,2021-03-05,2020-03-05,365
AHLADA,75,19087,114,14317,2021-03-05,2021-01-28,36
AHLEAST,146,3241,126,2085,2021-03-05,2020-03-05,365
AHLUCONT,232,69372,1498,45594,2021-03-05,2020-03-05,365
AHLWEST,260,2023,177,1170,2021-03-05,2020-03-05,365
AIAENG,1745,60881,5644,38791,2021-03-05,2020-03-05,365
